# Glossary in tab-separated format -*- coding: utf-8 -*-
mould	鋳型	工作のスキルでなにかの金属棒から特定の物を作りたい時に使ってるアイテムの訳
remain	遺体	NPCの死体の訳
remains	遺体	remainの複数形
arrowtips	矢じり	アイテム名で使用
arrowtip	矢じり	アイテム名で使用
Attack	攻撃力	スキル名
Strength	腕力	スキル名
Defence	守備力	スキル名
Ranged	弓	スキル名
Prayer	祈り	スキル名
Magic	魔法	スキル名
Hitpoints	体力	スキル名
Runecrafting	ルーン作り	スキル名
Crafting	工作	スキル名
Mining	採掘	スキル名
Smithing	鍛冶	スキル名
Fishing	釣り	スキル名
Cooking	料理	スキル名
Firemaking	火起こし	スキル名
Woodcutting	木こり	スキル名
Agility	運動神経	スキル名
Herblore	調合	スキル名
Thieving	盗み	スキル名
Fletching	木材加工	スキル名
Slayer	討伐	スキル名
Farming	農業	スキル名
Construction	建築	スキル名
Hunter	狩人	スキル名
Sailing	船旅	スキル名
rune	ルーン	採掘のスキルでの一番強い鉱石の訳
bolttips	ボルト先端	木材加工のスキルを上げる時にボルトに付けるものの訳
bolt　tips	ボルト先端	木材加工のスキルを上げる時にボルトに付けるものの訳
longbow	長弓	読み方は「ちょうきゅう」　短弓「たんきゅう」よりDPSは低いので使うことは結構珍しい
ice	氷	温度が低いときに水がなることの訳
arrow	矢	弓が使ってるものの訳
arrows	矢	arrowの複数形
lever	レバー	アイテム名前で使用
shiny	光沢のある	アイテム名で使用
key	鍵	アイテム名で使用
(u)	（未）	まだ未完成の弓の略
shortbow	短弓	読み方は「たんきゅう」ほとんどのプレイヤーに使われている種類の弓の訳
maple	楓	レベル４５になると切ることができる木の種類の訳
willow	柳	レベル３０になると切ることができる木の種類の訳
yew	イチイ	レベル６０になると切ることができる木の種類の訳
shaft	シャフト	矢の木材で作られた部分のこと
headless arrow	矢柄	矢じりなしの矢のこと
khazard	カザード	ある強いNPCの名
helmet	鉄兜	med helmを似ているヘルメットのこと
med helm	鉄兜	頭を守防具のこと
armour	防具	プレイヤーをある程度守るアイテム、守備力のボーナスをあげるアイテム
cell	監房	悪いことをすると閉じ込められる場所
Khali	カリ	たぶん場所の名
brew	醸造酒	強い酒の種類
armadyl	アーマディル	ある神の名
lucien	ルシエン	あるNPCのな
lightness	軽快	重さが少ない性質
child	子供	小さい人間
blanket	毛布	寝るときに体を温めるために使うもの
pendant	首飾り	くびかざり　アイテム名で使用
necklace	ネックレス	お守りと同じく　アイテム名で使用
ring	指輪	指にはめる色んなボーナスを与えるアイテム
bracelet	腕輪	うでわ
staff	杖	魔法で使われている武器の一つ
dwarf	ドワーフ	背が低いやつ
toolkit	ツールキット	様々な道具が入たもの
cannonball	キャノンボール	大砲が打つもの
Nulodion	ヌロディオン	ドワーフの一人
notes	メモ	アイテム名で使用
instruction manual	取扱説明書	アイテム名で使用
cannon	大砲	アイテム名で使用
railing	手摺	アイテム名で使用
whistle	笛	アイテム名で使用
grail	聖杯	holy grailと同じ　アイテム名で使用
guam	グアム	ハーブ系の一つ
potion	薬液	効果が無い、飲めないポーション
potion	増強薬	効果がある、強化されるポーション
platebody	胸甲	（きょうこう）アイテム名で使用
chainbody	鎖甲	（くさりこう）アイテム名で使用
full　helm	全頭甲	（ぜんとうこう）アイテム名で使用
platelegs	脚甲	（きゃっこう）アイテム名で使用
plateskirt	裙甲	（くんこう）
gloves	籠手	金属なら（こて）
gloves	手袋	布なら
boots	靴	足に着用する防具
marrentill	マレンテル	ハーブ類
(unf)	（未）	まだ作り終わってない薬液
tarromin	タロミン	ハーブ類
harralander	ハラランダー	ハーブ類
ranarr	ラナー	ハーブ類
irit	アイリット	ハーブ類
avantoe	アバントー	ハーブ類
kwuarm	クワーム	ハーブ類
cadantine	カンダタイン	ハーブ類
dwarf weed	ドワーフ草	ハーブ類
torstol	トーストル	ハーブ類
antipoison	解毒剤	調合系　アイテム名で使用
weapon	武器	アイテム名でしよ
poison	毒	アイテム名でしよ
super	超	super ○○ potionの場合使用
zamorak	ザモラック	悪の神
restore	回復	アイテム名で使用、調合系
eye	目	アイテム名で使用
newt	イモリ	アイテム名で使用
limpwurt	リンプワート	調合系のアイテム名
grimy	汚れた	調合系のアイテム名
snape	スネイプ	調合系のアイテム名
dragon	ドラゴン	NPC名
scale	鱗	ドラゴンの鱗の粉でアイテム名で使用
pressure	圧力	アイテム名で使用
gauge	計器	アイテム名で使用
rubber	ゴム	アイテム名で使用
tube	管	アイテム名で使用
plague	疫病	アイテム名で使用
jacket	ジャケット	アイテム名で使用
trousers	ズボン	アイテム名で使用
mail	帷子	長い衣類のアイテム名。読み：かたびら
glarial	グラリアル	NPC名
fishing net	漁網	アイテム名で使用
harpoon	もり	アイテム名で使用
burnt	焦げた	料理の失敗
seaweed	海藻	アイテム名で使用
priest	司祭	教会でいろんなことをする者
karamja	カラムジャ	地名
clay	粘土	採掘系
copper	銅	採掘系
ore	鉱石	採掘系
iron	鉄	採掘系
silver	銀	採掘系
gold	金	採掘系
mithril	ミスリル	採掘系
adamantite	アダマンタイト	採掘系
runite	ルーナイト	採掘系
coal	石炭	採掘系
axe	斧	アイテム名で使用
pickaxe	ツルハシ	アイテム名で使用
steel	鋼鉄	採掘系
bat	コウモリ	黒くて小さい飛ぶやつ
bones	骨	アイテム名で使用
enchant	魔法付与	動詞の場合
enchanted	魔法の	なにか特別な能力を持つアイテム
blurite	ブルライト	採掘系
clue scroll	宝探しの巻物	アイテム名で使用
gem	宝石	アイテム名で使用
bag	袋	アイテム名で使用
Ardougne	アルドイン	地名
Falador	ファラドー	地名
crossbow	洋弓銃	武器名
Dramen	ドラメン	木の名
bark	樹皮
translation	翻訳
Glough	グロー	NPC名
thrownaxe	投げ斧	アイテム名で使用
bronze	銅	採掘系
dart	ダーツ	武器名
dart tip	ダーツの先端	アイテム名で使用
javelin	投槍	武器名
knife	ナイフ	武器名
